numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
3,cop_3.png,a,g,l,1,23,47,18,g,1,0.8509410323,9,m,27,d,60.0087107,SNARC lie 1,2019_Apr_10_1212
4,lawyer_4.png,a,g,t,3,12,84,11,g,1,0.8509410324,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
7,cop_7.png,a,g,l,0,0,0,21,g,1,0.8509410324,26,f,24,d,60.01636775,SNARC lie 2,2019_Apr_24_1700
3,lawyer_3.png,g,a,t,2,8,56,10,g,1,0.8509421318,24,f,21,m,59.99393041,SNARC lie 2,2019_Apr_24_0942
9,lawyer_9.png,g,a,t,2,0,48,15,g,1,0.8509424985,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
1,lawyer_1.png,g,a,t,2,0,48,0,a,1,0.850942865,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
9,cop_9.png,a,g,l,3,15,87,23,a,1,0.8509432317,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
1,lawyer_1.png,g,a,t,0,15,15,8,a,1,0.8509446979,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
2,lawyer_2.png,a,g,t,3,12,84,1,a,1,0.8509457975,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
2,lawyer_2.png,a,g,t,4,2,98,9,a,1,0.8509468972,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
8,lawyer_8.png,a,g,t,1,19,43,6,g,1,0.8509483635,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
8,cop_8.png,g,a,l,1,7,31,22,g,1,0.8509498294,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
8,lawyer_8.png,a,g,t,4,18,114,6,a,1,0.8509498297,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
3,lawyer_3.png,g,a,t,0,8,8,10,a,1,0.8509505629,33,f,20,d,60.02283803,SNARC lie 1,2019_Apr_30_1445
8,cop_8.png,g,a,l,4,11,107,22,a,1,0.8509509293,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
7,cop_7.png,a,g,l,4,19,115,21,a,1,0.8509531287,27,f,24,d,60.02257397,SNARC lie 1,2019_Apr_29_1114
7,cop_7.png,a,g,l,3,11,83,21,a,1,0.850954595,27,f,24,d,60.02257397,SNARC lie 1,2019_Apr_29_1114
6,cop_6.png,g,a,l,3,1,73,20,g,1,0.8509567943,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
9,lawyer_9.png,g,a,t,3,15,87,15,a,1,0.8509586272,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
1,lawyer_1.png,g,a,t,0,14,14,8,g,1,0.8509593603,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
6,lawyer_6.png,a,g,t,3,1,73,4,a,1,0.8509597268,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
6,cop_6.png,g,a,l,0,19,19,20,a,1,0.8509600933,21,f,20,d,60.02323421,SNARC lie 1,2019_Apr_18_1508
8,lawyer_8.png,a,g,t,0,0,0,14,g,1,0.850961193,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
1,lawyer_1.png,g,a,t,0,3,3,8,g,1,0.8509615597,14,m,21,d,60.00686277,SNARC lie 2,2019_Apr_17_1552
3,lawyer_3.png,g,a,t,3,20,92,10,a,1,0.8509633923,14,m,21,d,60.00686277,SNARC lie 2,2019_Apr_17_1552
2,lawyer_2.png,a,g,t,2,10,58,9,a,1,0.8509674245,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
6,lawyer_6.png,a,g,t,3,10,82,4,g,1,0.8509699905,10,f,21,d,60.01095477,SNARC lie 2,2019_Apr_10_1300
1,cop_1.png,a,g,l,0,22,22,16,g,1,0.8509710901,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
4,cop_4.png,g,a,l,0,15,15,19,a,1,0.8509725565,31,m,21,d,60.02297006,SNARC lie 1,2019_Apr_30_1303
2,cop_2.png,g,a,l,1,20,44,17,g,1,0.850972923,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
3,lawyer_3.png,g,a,t,4,23,119,10,a,1,0.8509732895,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
8,lawyer_8.png,a,g,t,2,11,59,6,a,1,0.8509740226,14,m,21,d,60.00686277,SNARC lie 2,2019_Apr_17_1552
3,lawyer_3.png,g,a,t,1,8,32,2,g,1,0.8509765882,33,f,20,d,60.02283803,SNARC lie 1,2019_Apr_30_1445
7,cop_7.png,a,g,l,1,18,42,21,g,1,0.8509780548,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
2,cop_2.png,g,a,l,4,11,107,17,g,1,0.8509795209,15,f,19,d,60.03657565,SNARC lie 1,2019_Apr_17_1720
8,cop_8.png,g,a,l,4,9,105,22,g,1,0.8509806208,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
7,lawyer_7.png,g,a,t,2,3,51,5,a,1,0.8509850195,26,f,24,d,60.01636775,SNARC lie 2,2019_Apr_24_1700
4,lawyer_4.png,a,g,t,0,20,20,3,a,1,0.8509875855,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
2,cop_2.png,g,a,l,2,0,48,17,a,1,0.8509941834,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
1,lawyer_1.png,g,a,t,4,3,99,8,g,1,0.8509956497,9,m,27,d,60.0087107,SNARC lie 1,2019_Apr_10_1212
2,cop_2.png,g,a,l,1,2,26,17,a,1,0.8509967495,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
1,lawyer_1.png,g,a,t,2,8,56,8,g,1,0.8510022475,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
7,cop_7.png,a,g,l,0,5,5,21,g,1,0.8510051803,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
1,lawyer_1.png,g,a,t,4,4,100,8,a,1,0.8510077461,10,f,21,d,60.01095477,SNARC lie 2,2019_Apr_10_1300
7,lawyer_7.png,g,a,t,0,11,11,13,a,1,0.8510084793,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
7,cop_7.png,a,g,l,4,23,119,21,g,1,0.8510106786,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
3,cop_3.png,a,g,l,3,17,89,18,a,1,0.8510121449,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
1,lawyer_1.png,g,a,t,1,23,47,0,g,1,0.8510154439,23,f,24,d,60.01161484,SNARC lie 1,2019_Apr_18_1730
7,lawyer_7.png,g,a,t,3,18,90,5,g,1,0.8510165436,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
7,cop_7.png,a,g,l,3,21,93,21,g,1,0.8510172768,7,f,24,d,60.00171555,SNARC lie 1,2019_Apr_10_1010
7,lawyer_7.png,g,a,t,1,4,28,5,g,1,0.8510213087,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
1,cop_1.png,a,g,l,4,6,102,16,g,1,0.8510213089,26,f,24,d,60.01636775,SNARC lie 2,2019_Apr_24_1700
9,lawyer_9.png,g,a,t,4,2,98,15,g,1,0.8510231413,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
1,lawyer_1.png,g,a,t,2,5,53,8,g,1,0.8510242414,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
1,cop_1.png,a,g,l,0,2,2,16,g,1,0.8510271738,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
4,cop_4.png,g,a,l,0,13,13,19,g,1,0.8510282736,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
1,cop_1.png,a,g,l,3,5,77,16,g,1,0.8510590647,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
3,lawyer_3.png,g,a,t,2,6,54,2,g,1,0.8511041515,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
1,lawyer_1.png,g,a,t,4,9,105,0,a,1,0.8511118491,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
4,lawyer_4.png,a,g,t,1,22,46,11,a,1,0.8511433733,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
7,cop_7.png,a,g,l,0,10,10,21,a,1,0.8511631675,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
6,cop_6.png,g,a,l,2,16,64,20,g,1,0.851288531,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
7,lawyer_7.png,g,a,t,4,6,102,5,a,1,0.8513424152,21,f,20,d,60.02323421,SNARC lie 1,2019_Apr_18_1508
7,cop_7.png,a,g,l,0,2,2,21,a,1,0.8513603765,20,f,25,d,60.00527894,SNARC lie 2,2019_Apr_18_1410
8,lawyer_8.png,a,g,t,1,15,39,6,g,1,0.8513882351,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
7,lawyer_7.png,g,a,t,0,10,10,13,a,1,0.8667771476,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
6,cop_6.png,g,a,l,3,13,85,20,a,1,0.8667874115,22,f,22,d,60.02178155,SNARC lie 2,2019_Apr_18_1558
6,lawyer_6.png,a,g,t,4,1,97,12,g,1,0.86679291,22,f,22,d,60.02178155,SNARC lie 2,2019_Apr_18_1558
6,cop_6.png,g,a,l,4,6,102,20,g,1,0.8668046398,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
8,lawyer_8.png,a,g,t,1,10,34,14,a,1,0.8668185689,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
8,lawyer_8.png,a,g,t,4,3,99,14,g,1,0.8668193021,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
9,lawyer_9.png,g,a,t,2,14,62,7,a,1,0.8668291993,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
9,lawyer_9.png,g,a,t,3,6,78,15,a,1,0.8668310321,14,m,21,d,60.00686277,SNARC lie 2,2019_Apr_17_1552
2,cop_2.png,g,a,l,1,2,26,17,a,1,0.86683763,35,m,21,d,60.01808426,SNARC lie 1,2019_May_16_1301
8,lawyer_8.png,a,g,t,2,8,56,14,a,1,0.8668394629,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
9,lawyer_9.png,g,a,t,3,17,89,7,a,1,0.8668412957,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
3,lawyer_3.png,g,a,t,0,4,4,10,g,1,0.8668603569,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
4,cop_4.png,g,a,l,3,12,84,19,g,1,0.8668750194,37,m,24,d,60.1277463,SNARC lie 1,2019_May_16_1648
7,cop_7.png,a,g,l,0,22,22,21,g,1,0.8668775852,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
7,lawyer_7.png,g,a,t,4,18,114,5,a,1,0.8669006783,31,m,21,d,60.02297006,SNARC lie 1,2019_Apr_30_1303
9,cop_9.png,a,g,l,3,0,72,23,g,1,0.8669032445,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
8,lawyer_8.png,a,g,t,4,22,118,6,a,1,0.8669116752,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
3,cop_3.png,a,g,l,3,6,78,18,g,1,0.8669120418,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
3,lawyer_3.png,g,a,t,4,3,99,10,g,1,0.866922672,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
9,cop_9.png,a,g,l,0,16,16,23,g,1,0.866935135,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
7,lawyer_7.png,g,a,t,3,5,77,5,g,1,0.8669435659,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
8,lawyer_8.png,a,g,t,0,20,20,6,g,1,0.8669461315,31,m,21,d,60.02297006,SNARC lie 1,2019_Apr_30_1303
6,lawyer_6.png,a,g,t,4,17,113,12,a,1,0.8669974501,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
7,lawyer_7.png,g,a,t,3,12,84,5,g,1,0.8670007492,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
7,cop_7.png,a,g,l,0,20,20,21,g,1,0.8670608651,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
9,lawyer_9.png,g,a,t,2,7,55,15,g,1,0.8670703956,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
4,lawyer_4.png,a,g,t,0,11,11,3,g,1,0.8670799262,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
8,lawyer_8.png,a,g,t,1,0,24,6,g,1,0.8670861577,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
4,lawyer_4.png,a,g,t,4,16,112,3,a,1,0.8670905564,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
3,lawyer_3.png,g,a,t,0,15,15,2,a,1,0.867118415,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
3,lawyer_3.png,g,a,t,0,12,12,10,a,1,0.8671422413,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
8,lawyer_8.png,a,g,t,2,21,69,14,g,1,0.867152505,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
8,lawyer_8.png,a,g,t,1,19,43,6,g,1,0.8671770645,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
1,cop_1.png,a,g,l,0,6,6,16,a,1,0.8671939262,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
3,lawyer_3.png,g,a,t,3,9,81,10,a,1,0.8671986915,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
2,cop_2.png,g,a,l,3,6,78,17,a,1,0.867201624,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
8,lawyer_8.png,a,g,t,2,11,59,6,a,1,0.8672093218,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
8,lawyer_8.png,a,g,t,2,14,62,14,g,1,0.8672247173,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
9,cop_9.png,a,g,l,1,5,29,23,g,1,0.8672401128,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
6,lawyer_6.png,a,g,t,1,20,44,4,g,1,0.8672426787,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
6,lawyer_6.png,a,g,t,4,12,108,12,g,1,0.867257341,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
8,lawyer_8.png,a,g,t,0,5,5,6,g,1,0.867265772,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
1,cop_1.png,a,g,l,4,11,107,16,g,1,0.867281534,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
1,cop_1.png,a,g,l,2,12,60,16,a,1,0.8672899649,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
9,lawyer_9.png,g,a,t,2,1,49,7,a,1,0.8672958299,2,f,28,d,60.06102824,SNARC lie 2,2019_Apr_04_1721
7,cop_7.png,a,g,l,0,0,0,21,a,1,0.8673174569,3,f,20,d,60.01201092,SNARC lie 1,2019_Apr_09_1542
6,lawyer_6.png,a,g,t,0,23,23,12,a,1,0.8673244215,5,f,22,d,60.06486318,SNARC lie 1,2019_Apr_09_1752
