numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
4,lawyer_4.png,a,g,t,1,4,12,3,a,1,0.5675624654,7,f,24,d,60.00171555,SNARC lie 1,2019_Apr_10_1010
1,lawyer_1.png,g,a,t,1,0,8,0,g,1,0.5675642984,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
6,lawyer_6.png,a,g,t,1,1,9,4,g,1,0.5675657645,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
3,lawyer_3.png,g,a,t,1,5,13,2,a,1,0.5675690635,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
6,lawyer_6.png,a,g,t,2,3,19,4,a,1,0.5675697965,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
6,lawyer_6.png,a,g,t,4,3,35,4,a,1,0.5675756617,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
9,lawyer_9.png,g,a,t,2,6,22,7,a,1,0.5675789607,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
8,lawyer_8.png,a,g,t,2,3,19,6,a,1,0.5675804269,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
6,lawyer_6.png,a,g,t,2,7,23,4,a,1,0.56758116,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
7,lawyer_7.png,g,a,t,2,4,20,5,a,1,0.5675844591,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
7,lawyer_7.png,g,a,t,0,0,0,5,g,1,0.5675855587,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
3,lawyer_3.png,g,a,t,2,1,17,2,a,1,0.5675892243,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
1,lawyer_1.png,g,a,t,0,7,7,0,g,1,0.5675943564,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
4,lawyer_4.png,a,g,t,1,3,11,3,g,1,0.5675950893,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
7,lawyer_7.png,g,a,t,4,7,39,5,a,1,0.5675958224,9,m,27,d,60.0087107,SNARC lie 1,2019_Apr_10_1212
8,lawyer_8.png,a,g,t,4,6,38,6,a,1,0.5675983885,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
7,lawyer_7.png,g,a,t,0,0,0,5,g,1,0.5675991215,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
2,lawyer_2.png,a,g,t,0,2,2,1,a,1,0.567599488,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
6,lawyer_6.png,a,g,t,2,7,23,4,a,1,0.5675998545,8,m,27,d,60.02468695,SNARC lie 2,2019_Apr_10_1125
3,lawyer_3.png,g,a,t,1,7,15,2,g,1,0.5676005874,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
1,lawyer_1.png,g,a,t,2,4,20,0,g,1,0.5676009539,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
3,lawyer_3.png,g,a,t,2,4,20,2,a,1,0.5676009542,4,f,24,d,60.03340485,SNARC lie 2,2019_Apr_09_1700
1,lawyer_1.png,g,a,t,0,3,3,0,a,1,0.5676042533,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
7,lawyer_7.png,g,a,t,4,2,34,5,a,1,0.5676075523,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
4,lawyer_4.png,a,g,t,2,7,23,3,g,1,0.5676097518,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
1,lawyer_1.png,g,a,t,3,2,26,0,a,1,0.5676126841,11,f,21,d,60.03644348,SNARC lie 1,2019_Apr_10_1403
8,lawyer_8.png,a,g,t,2,7,23,6,a,1,0.5676126841,12,m,24,d,60.00131965,SNARC lie 2,2019_Apr_17_1403
7,lawyer_7.png,g,a,t,0,5,5,5,a,1,0.5676141502,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
7,lawyer_7.png,g,a,t,1,5,13,5,a,1,0.5676148834,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
1,lawyer_1.png,g,a,t,4,6,38,0,a,1,0.5676156166,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
